num_target;   la; isd; typealmax; niter;     tex; te_acc;
         1;  0.0;   1; 1; 1000;  3.4548;  100.0;
         1;  0.0;   3; 1; 1000;  3.5669;  100.0;
         1;  1.0;   1; 1;  125;  0.9586;  100.0;
         1;  1.0;   3; 1; 1000; 10.4638;  100.0;
         1; 10.0;   1; 1;   50;  0.4998;  100.0;
         1; 10.0;   3; 1; 1000; 11.2964;   98.4;
         2;  0.0;   1; 1; 1000;  3.4642;  100.0;
         2;  0.0;   3; 1; 1000;  3.2688;   90.8;
         2;  1.0;   1; 1;  125;  1.0201;  100.0;
         2;  1.0;   3; 1; 1000; 11.2642;  100.0;
         2; 10.0;   1; 1;  123;  1.2311;  100.0;
         2; 10.0;   3; 1; 1000; 10.3470;   90.8;
         3;  0.0;   1; 1; 1000;  3.1791;   98.4;
         3;  0.0;   3; 1; 1000; 10.3493;   98.0;
         3;  1.0;   1; 1;  559;  4.7130;   99.2;
         3;  1.0;   3; 1; 1000; 11.0897;   98.8;
         3; 10.0;   1; 1;   86;  0.8502;   99.2;
         3; 10.0;   3; 1; 1000; 10.3579;   89.6;
         4;  0.0;   1; 1; 1000;  3.2276;   99.6;
         4;  0.0;   3; 1; 1000;  3.2622;   99.6;
         4;  1.0;   1; 1;   81;  0.6446;  100.0;
         4;  1.0;   3; 1; 1000; 10.5467;  100.0;
         4; 10.0;   1; 1;   35;  0.4090;  100.0;
         4; 10.0;   3; 1; 1000; 11.7225;   98.4;
         5;  0.0;   1; 1;  151;  0.5589;   99.6;
         5;  0.0;   3; 1; 1000; 10.8860;  100.0;
         5;  1.0;   1; 1;  207;  1.5825;   99.6;
         5;  1.0;   3; 1; 1000; 10.3861;   99.6;
         5; 10.0;   1; 1;  109;  1.0141;   99.6;
         5; 10.0;   3; 1; 1000;  9.8940;   88.0;
         6;  0.0;   1; 1;    8;  0.1184;   99.6;
         6;  0.0;   3; 1;  234;  2.5759;   99.6;
         6;  1.0;   1; 1;   63;  0.5228;  100.0;
